Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 00:00:01.145,1.02741,1.02727,1.50,3.00
22.04.2013 00:00:01.501,1.02742,1.02727,1.50,1.50
22.04.2013 00:00:01.561,1.02741,1.02727,1.50,1.50
22.04.2013 00:00:02.212,1.02741,1.02726,1.50,2.63
22.04.2013 00:00:02.512,1.02742,1.02729,1.50,1.50
22.04.2013 00:00:05.411,1.02742,1.02728,2.25,1.50
22.04.2013 00:00:05.952,1.02742,1.02728,3.00,1.50
22.04.2013 00:00:07.903,1.02742,1.02726,3.00,5.25
22.04.2013 00:00:08.472,1.02742,1.02726,3.00,5.25
22.04.2013 00:00:10.163,1.02742,1.02726,2.25,3.75
22.04.2013 00:00:10.343,1.02742,1.02726,2.25,3.75
22.04.2013 00:00:10.883,1.02742,1.02727,2.25,1.50
22.04.2013 00:00:11.602,1.02742,1.02726,2.25,4.50
22.04.2013 00:00:12.372,1.02742,1.02727,2.25,1.50
22.04.2013 00:00:13.322,1.02742,1.02727,2.25,1.50
22.04.2013 00:00:13.682,1.02742,1.02727,2.25,1.50
22.04.2013 00:00:14.187,1.02742,1.02727,2.25,2.25
22.04.2013 00:00:17.655,1.02742,1.02727,2.63,1.50
22.04.2013 00:00:18.212,1.02742,1.02726,2.63,2.25
22.04.2013 00:00:18.762,1.02741,1.02726,2.25,2.25
22.04.2013 00:00:18.943,1.02742,1.02726,2.25,3.00
22.04.2013 00:00:20.492,1.02742,1.02726,2.25,3.00
22.04.2013 00:00:21.772,1.02742,1.02726,2.25,3.00
22.04.2013 00:00:22.313,1.02742,1.02727,1.50,2.25
22.04.2013 00:00:22.492,1.02742,1.02728,1.50,1.50
22.04.2013 00:00:24.162,1.02742,1.02727,1.50,2.25
22.04.2013 00:00:24.712,1.02742,1.02728,1.50,1.50
22.04.2013 00:00:27.222,1.02742,1.02727,1.50,2.25
22.04.2013 00:00:29.923,1.02740,1.02726,1.50,3.00
22.04.2013 00:00:30.103,1.02740,1.02726,1.50,2.25
22.04.2013 00:00:30.464,1.02740,1.02727,1.50,1.50
22.04.2013 00:00:31.014,1.02740,1.02726,1.50,3.00
22.04.2013 00:00:31.964,1.02740,1.02726,1.50,3.00
22.04.2013 00:00:40.012,1.02740,1.02727,1.50,1.50
22.04.2013 00:00:40.662,1.02737,1.02726,1.50,1.50
22.04.2013 00:00:40.783,1.02737,1.02723,1.50,1.65
22.04.2013 00:00:40.904,1.02737,1.02723,1.50,1.50
22.04.2013 00:00:42.383,1.02737,1.02723,1.50,1.50
22.04.2013 00:00:43.003,1.02737,1.02723,1.50,2.25
22.04.2013 00:00:43.623,1.02737,1.02723,1.50,1.50
22.04.2013 00:00:43.983,1.02737,1.02722,1.50,2.25
22.04.2013 00:00:44.523,1.02737,1.02723,2.25,1.50
